Date,COFORGE.NS,INFY.NS,LTIM.NS,PERSISTENT.NS,TCS.NS,^CNXIT,^NSEI
2025-05-08,1550.9000244140625,1490.4295654296875,4558.9892578125,5469.5,3418.514892578125,36002.44921875,24273.80078125
2025-05-09,1536.199951171875,1486.6822509765625,4580.19775390625,5443.0,3409.990966796875,35880.1015625,24008.0
2025-05-12,1662.300048828125,1604.3270263671875,4896.1416015625,5876.5,3588.50390625,38282.55078125,24924.69921875
2025-05-13,1653.300048828125,1546.8358154296875,4875.4287109375,5761.0,3484.03271484375,37354.6015625,24578.349609375
2025-05-14,1692.699951171875,1570.3056640625,4989.1015625,5758.5,3517.435791015625,37853.55078125,24666.900390625
2025-05-15,1692.199951171875,1590.6197509765625,4988.8037109375,5653.5,3548.36083984375,38293.80078125,25062.099609375
2025-05-16,1685.199951171875,1567.84033203125,5002.5791015625,5699.0,3529.9248046875,37972.3515625,25019.80078125
2025-05-19,1655.0999755859375,1538.157958984375,4975.1279296875,5669.5,3487.79931640625,37477.80078125,24945.44921875
2025-05-20,1641.0999755859375,1538.94677734375,4970.4697265625,5647.0,3467.47998046875,37283.5,24683.900390625
2025-05-21,1653.199951171875,1546.7371826171875,4988.70458984375,5670.0,3494.737548828125,37540.1015625,24813.44921875
2025-05-22,1652.4000244140625,1526.028564453125,4978.2001953125,5582.5,3446.367431640625,37050.1484375,24609.69921875
2025-05-23,1664.300048828125,1543.088623046875,5045.7998046875,5662.0,3483.63623046875,37403.55078125,24853.150390625
2025-05-26,1691.0999755859375,1558.5706787109375,5111.60009765625,5691.0,3506.13623046875,37785.8984375,25001.150390625
2025-05-27,1691.9000244140625,1548.3150634765625,5107.7001953125,5645.5,3467.876220703125,37501.44921875,24826.19921875
2025-05-28,1693.4000244140625,1549.991455078125,5099.2998046875,5584.0,3466.885009765625,37465.75,24752.44921875
2025-05-29,1726.0999755859375,1563.5999755859375,5128.2001953125,5670.0,3467.28173828125,37754.1484375,24833.599609375
2025-05-30,1710.0999755859375,1562.699951171875,5068.89990234375,5638.0,3432.88720703125,37321.75,24750.69921875
2025-06-02,1717.0999755859375,1553.800048828125,5072.5,5519.0,3419.4072265625,37061.8515625,24716.599609375
2025-06-03,1699.800048828125,1543.0,5061.0,5485.0,3375.199951171875,36814.8984375,24542.5
2025-06-04,1724.5,1551.199951171875,5153.0,5504.0,3380.89990234375,36938.1015625,24620.19921875
2025-06-05,1766.0,1554.300048828125,5181.5,5623.0,3371.10009765625,37107.94921875,24750.900390625
2025-06-06,1775.5,1563.800048828125,5204.0,5676.5,3384.199951171875,37294.8515625,25003.05078125
2025-06-09,1794.0,1572.9000244140625,5258.0,5790.5,3421.89990234375,37669.19921875,25103.19921875
2025-06-10,1830.5,1596.0,5385.0,5946.0,3462.89990234375,38300.0,25104.25
2025-06-11,1816.5,1631.0999755859375,5394.0,5965.5,3471.89990234375,38784.30078125,25141.400390625
2025-06-12,1784.5,1608.5999755859375,5415.0,5922.0,3434.199951171875,38460.30078125,24888.19921875
2025-06-13,1792.5,1602.0,5429.0,5882.5,3445.699951171875,38469.25,24718.599609375
2025-06-16,1829.5,1623.800048828125,5449.5,6019.0,3496.300048828125,39073.05078125,24946.5
2025-06-17,1840.5,1639.9000244140625,5514.5,6068.0,3515.300048828125,39356.1015625,24853.400390625
2025-06-18,1833.5,1632.9000244140625,5450.5,6025.5,3451.39990234375,39030.8984375,24812.05078125
2025-06-19,1794.0,1618.4000244140625,5368.0,5898.5,3424.0,38664.94921875,24793.25
2025-06-20,1832.0,1622.9000244140625,5376.5,6106.5,3435.699951171875,38991.44921875,25112.400390625
2025-06-23,1831.0,1584.0,5327.5,6080.0,3393.60009765625,38414.1015625,24971.900390625
2025-06-24,1862.0,1581.5999755859375,5336.5,6082.5,3390.39990234375,38417.94921875,25044.349609375
2025-06-25,1880.0,1614.9000244140625,5436.0,6108.5,3444.800048828125,39046.30078125,25244.75
2025-06-26,1888.0,1616.0,5373.0,6055.5,3441.800048828125,38996.25,25549.0
2025-06-27,1899.5,1608.0,5293.0,6010.5,3441.10009765625,38822.94921875,25637.80078125
2025-06-30,1924.5,1601.800048828125,5317.0,6041.5,3462.0,38950.0,25517.05078125
2025-07-01,1922.5,1606.800048828125,5304.0,6038.5,3429.699951171875,38833.1484375,25541.80078125
2025-07-02,1926.0999755859375,1610.5,5304.5,6014.5,3423.300048828125,38879.1015625,25453.400390625
2025-07-03,1938.300048828125,1618.699951171875,5324.5,5950.5,3400.800048828125,38854.30078125,25405.30078125
2025-07-04,1950.5999755859375,1640.699951171875,5316.0,5896.0,3419.800048828125,39166.55078125,25461.0
2025-07-07,1941.699951171875,1627.0,5350.0,5840.5,3411.699951171875,38866.94921875,25461.30078125
2025-07-08,1949.5999755859375,1638.699951171875,5369.0,5784.0,3406.199951171875,38983.25,25522.5
2025-07-09,1931.300048828125,1633.699951171875,5329.5,5724.0,3383.800048828125,38680.8515625,25476.099609375
2025-07-10,1887.699951171875,1615.800048828125,5320.0,5680.5,3382.0,38376.6484375,25355.25
2025-07-11,1867.800048828125,1594.9000244140625,5206.0,5578.5,3266.0,37693.25,25149.849609375
